_id,concept,doccount
5-methyltetrahydrofolic acid@DrugBank,5-methyltetrahydrofolic acid,5
"6-Cyano-7-nitroquinoxaline-2,3-dione@MeSH","6-Cyano-7-nitroquinoxaline-2,3-dione",67
6-Ketoprostaglandin F1 alpha@MeSH,6-Ketoprostaglandin F1 alpha,7
8-Bromo Cyclic Adenosine Monophosphate@MeSH,8-Bromo Cyclic Adenosine Monophosphate,1
8-Hydroxy-2-(di-n-propylamino)tetralin@MeSH,8-Hydroxy-2-(di-n-propylamino)tetralin,25
"8-cyclopentyl-1,3-dipropylxanthine@DrugBank","8-cyclopentyl-1,3-dipropylxanthine",4
A Kinase Anchor Proteins@MeSH,A Kinase Anchor Proteins,1
AC133 Antigen@MeSH,AC133 Antigen,1
"ACTH Syndrome, Ectopic@MeSH","ACTH Syndrome, Ectopic",1
ADAM Proteins@MeSH,ADAM Proteins,1
ADAM17 Protein@MeSH,ADAM17 Protein,1
ADAMTS Proteins@MeSH,ADAMTS Proteins,1
ADP Ribose Transferases@MeSH,ADP Ribose Transferases,1
ADP-Ribosylation@MeSH,ADP-Ribosylation,8
AICA ribonucleotide@DrugBank,AICA ribonucleotide,3
AIDS Dementia Complex@MeSH,AIDS Dementia Complex,15
AIDS-Related Complex@MeSH,AIDS-Related Complex,33
AMP Deaminase@MeSH,AMP Deaminase,3
AMP-Activated Protein Kinases@MeSH,AMP-Activated Protein Kinases,3
APACHE@MeSH,APACHE,5
APUD Cells@MeSH,APUD Cells,1
"ATP Binding Cassette Transporter, Sub-Family B@MeSH","ATP Binding Cassette Transporter, Sub-Family B",45
ATP-Binding Cassette Transporters@MeSH,ATP-Binding Cassette Transporters,8
"ATP-Binding Cassette, Sub-Family B, Member 1@MeSH","ATP-Binding Cassette, Sub-Family B, Member 1",44
ATP@DrugBank,ATP,205
AV-101@DrugBank,AV-101,1
Abacavir@DrugBank,Abacavir,28
Abattoirs@MeSH,Abattoirs,6
Abbreviations@MeSH,Abbreviations,30
"Abdomen, Acute@MeSH","Abdomen, Acute",14
Abdomen@MeSH,Abdomen,76
Abdominal Abscess@MeSH,Abdominal Abscess,1
Abdominal Cavity@MeSH,Abdominal Cavity,2
Abdominal Injuries@MeSH,Abdominal Injuries,1
Abdominal Muscles@MeSH,Abdominal Muscles,2
Abdominal Pain@MeSH,Abdominal Pain,174
Abdominal Wall@MeSH,Abdominal Wall,6
AbdominalAura@EpSO,AbdominalAura,3
Abdominal_Aura@ESSO,Abdominal_Aura,3
Abducens Nerve Diseases@MeSH,Abducens Nerve Diseases,9
Abducens Nerve@MeSH,Abducens Nerve,5
Abduction@ESSO,Abduction,22
Abelmoschus@MeSH,Abelmoschus,1
Abetalipoproteinemia@MeSH,Abetalipoproteinemia,9
Abies@MeSH,Abies,1
Abilify@EpSO,Abilify,5
Ablation Techniques@MeSH,Ablation Techniques,4
Abnormal Involuntary Movement Scale@MeSH,Abnormal Involuntary Movement Scale,1
Abnormal Karyotype@MeSH,Abnormal Karyotype,10
AbnormalEEGPattern@EpSO,AbnormalEEGPattern,1
Abnormal_Development@ESSO,Abnormal_Development,26
Abnormal_Pattern@ESSO,Abnormal_Pattern,27
"Abnormalities, Drug-Induced@MeSH","Abnormalities, Drug-Induced",2
"Abnormalities, Multiple@MeSH","Abnormalities, Multiple",11
Abomasum@MeSH,Abomasum,1
Aborted Fetus@MeSH,Aborted Fetus,1
Abortifacient Agents@MeSH,Abortifacient Agents,4
"Abortion, Criminal@MeSH","Abortion, Criminal",1
"Abortion, Habitual@MeSH","Abortion, Habitual",7
"Abortion, Incomplete@MeSH","Abortion, Incomplete",1
"Abortion, Induced@MeSH","Abortion, Induced",10
"Abortion, Legal@MeSH","Abortion, Legal",2
"Abortion, Septic@MeSH","Abortion, Septic",1
"Abortion, Spontaneous@MeSH","Abortion, Spontaneous",62
"Abortion, Therapeutic@MeSH","Abortion, Therapeutic",9
"Abortion, Threatened@MeSH","Abortion, Threatened",4
Abreaction@MeSH,Abreaction,2
Abruptio Placentae@MeSH,Abruptio Placentae,24
Abscess@MeSH,Abscess,188
Absence_Seizure@ESSO,Absence_Seizure,580
Absence_Status_Epilepticus@EPILONT,Absence_Status_Epilepticus,25
Absenteeism@MeSH,Absenteeism,7
Absidia@MeSH,Absidia,1
Absinthe@MeSH,Absinthe,7
"Absorptiometry, Photon@MeSH","Absorptiometry, Photon",2
Absorption@ESSO,Absorption,316
Absorption@MeSH,Absorption,304
Abstracting and Indexing as Topic@MeSH,Abstracting and Indexing as Topic,1
Abstracts@MeSH,Abstracts,1832
Acacia@MeSH,Acacia,1
Academic Failure@MeSH,Academic Failure,1
Academic Medical Centers@MeSH,Academic Medical Centers,43
Academic Performance@MeSH,Academic Performance,29
Academic Success@MeSH,Academic Success,33
Acadesine@DrugBank,Acadesine,1
Acanthaceae@MeSH,Acanthaceae,1
Acanthamoeba Keratitis@MeSH,Acanthamoeba Keratitis,1
Acanthamoeba@MeSH,Acanthamoeba,9
Acanthocytes@MeSH,Acanthocytes,6
Acantholysis@MeSH,Acantholysis,3
Acanthosis Nigricans@MeSH,Acanthosis Nigricans,7
Acarbose@DrugBank,Acarbose,2
Acarbose@MeSH,Acarbose,2
Acaricides@MeSH,Acaricides,2
Accelerated Idioventricular Rhythm@MeSH,Accelerated Idioventricular Rhythm,1
Acceleration@MeSH,Acceleration,301
Accelerometry@MeSH,Accelerometry,2
Acceptance and Commitment Therapy@MeSH,Acceptance and Commitment Therapy,1
Acceptance@ESSO,Acceptance,730
Accessory Nerve@MeSH,Accessory Nerve,1
Accident Prevention@MeSH,Accident Prevention,3
Accidental Falls@MeSH,Accidental Falls,626
"Accidents, Aviation@MeSH","Accidents, Aviation",1
"Accidents, Home@MeSH","Accidents, Home",1
"Accidents, Occupational@MeSH","Accidents, Occupational",2
"Accidents, Traffic@MeSH","Accidents, Traffic",50
Accidents@MeSH,Accidents,261
Acclimatization@MeSH,Acclimatization,3
Accounting@MeSH,Accounting,1491
Accreditation@MeSH,Accreditation,5
Acculturation@MeSH,Acculturation,3
Acebutolol@MeSH,Acebutolol,3
Acecainide@MeSH,Acecainide,1
Aceclofenac@DrugBank,Aceclofenac,1
Acenocoumarol@MeSH,Acenocoumarol,1
Acepromazine@MeSH,Acepromazine,15
Acer@MeSH,Acer,1
Acetabulum@MeSH,Acetabulum,1
Acetaldehyde@MeSH,Acetaldehyde,18
Acetals@MeSH,Acetals,101
Acetamides@MeSH,Acetamides,29
Acetaminophen@DrugBank,Acetaminophen,61
Acetaminophen@MeSH,Acetaminophen,79
Acetanilides@MeSH,Acetanilides,1
Acetates@MeSH,Acetates,101
Acetazolamide@DrugBank,Acetazolamide,68
Acetazolamide@MeSH,Acetazolamide,87
Acetic Acid@MeSH,Acetic Acid,75
Acetic acid@DrugBank,Acetic acid,9
Acetoacetates@MeSH,Acetoacetates,17
Acetohydroxamic Acid@DrugBank,Acetohydroxamic Acid,2
Acetone@MeSH,Acetone,19
Acetonitriles@MeSH,Acetonitriles,21
Acetophenones@MeSH,Acetophenones,6
Acetyl Coenzyme A@MeSH,Acetyl Coenzyme A,7
Acetylation@MeSH,Acetylation,163
Acetylcarnitine@DrugBank,Acetylcarnitine,4
Acetylcarnitine@MeSH,Acetylcarnitine,8
Acetylcholine@MeSH,Acetylcholine,173
Acetylcholinesterase@MeSH,Acetylcholinesterase,117
Acetylcysteine@DrugBank,Acetylcysteine,13
Acetylcysteine@MeSH,Acetylcysteine,16
Acetylene@MeSH,Acetylene,27
Acetylgalactosamine@MeSH,Acetylgalactosamine,1
Acetylglucosamine@MeSH,Acetylglucosamine,1
Acetylglucosaminidase@MeSH,Acetylglucosaminidase,3
Acetylsalicylic acid@DrugBank,Acetylsalicylic acid,76
Acetyltransferases@MeSH,Acetyltransferases,5
Achievement@MeSH,Achievement,1779
Achillea@MeSH,Achillea,2
Achilles Tendon@MeSH,Achilles Tendon,7
Achlorhydria@MeSH,Achlorhydria,2
Achondroplasia@MeSH,Achondroplasia,7
Achromobacter denitrificans@MeSH,Achromobacter denitrificans,1
Achyranthes@MeSH,Achyranthes,2
Aciclovir@DrugBank,Aciclovir,51
Acid Ceramidase@MeSH,Acid Ceramidase,2
Acid Phosphatase@MeSH,Acid Phosphatase,6
Acid Sensing Ion Channel Blockers@MeSH,Acid Sensing Ion Channel Blockers,1
Acid Sensing Ion Channels@MeSH,Acid Sensing Ion Channels,7
Acid-Base Equilibrium@MeSH,Acid-Base Equilibrium,15
Acid-Base Imbalance@MeSH,Acid-Base Imbalance,3
Acidic Glycosphingolipids@MeSH,Acidic Glycosphingolipids,1
"Acidosis, Lactic@MeSH","Acidosis, Lactic",171
"Acidosis, Renal Tubular@MeSH","Acidosis, Renal Tubular",9
"Acidosis, Respiratory@MeSH","Acidosis, Respiratory",19
Acidosis@MeSH,Acidosis,326
"Acids, Heterocyclic@MeSH","Acids, Heterocyclic",2
Acids@MeSH,Acids,1149
Acinar Cells@MeSH,Acinar Cells,2
Acinetobacter calcoaceticus@MeSH,Acinetobacter calcoaceticus,1
Acinetobacter@MeSH,Acinetobacter,2
Acinonyx@MeSH,Acinonyx,2
Acitretin@DrugBank,Acitretin,3
Acitretin@MeSH,Acitretin,3
Acne Conglobata@MeSH,Acne Conglobata,1
Acne Keloid@MeSH,Acne Keloid,1
Acne Vulgaris@MeSH,Acne Vulgaris,30
Aconitate Hydratase@MeSH,Aconitate Hydratase,6
Aconitic Acid@MeSH,Aconitic Acid,3
Aconitine@MeSH,Aconitine,4
Aconitum@MeSH,Aconitum,3
Acorus@MeSH,Acorus,4
Acoustic Stimulation@MeSH,Acoustic Stimulation,107
Acoustic_Startle@ESSO,Acoustic_Startle,15
Acoustics@MeSH,Acoustics,164
Acquired Immunodeficiency Syndrome@MeSH,Acquired Immunodeficiency Syndrome,622
Acquired@ESSO,Acquired,870
Acquired_Epileptic_Aphasia@ESSO,Acquired_Epileptic_Aphasia,28
Acridine Carboxamide@DrugBank,Acridine Carboxamide,2
Acridine Orange@MeSH,Acridine Orange,1
Acridines@MeSH,Acridines,1
Acro-Osteolysis@MeSH,Acro-Osteolysis,1
Acrocallosal Syndrome@MeSH,Acrocallosal Syndrome,1
Acrocallosal_Syndrome@ESSO,Acrocallosal_Syndrome,1
Acrodermatitis@MeSH,Acrodermatitis,2
Acrodynia@MeSH,Acrodynia,2
Acrolein@MeSH,Acrolein,2
Acromegaly@MeSH,Acromegaly,5
Acromion@MeSH,Acromion,1
Acrosome Reaction@MeSH,Acrosome Reaction,1
Acrylamide@MeSH,Acrylamide,3
Acrylamides@MeSH,Acrylamides,3
Acrylates@MeSH,Acrylates,10
Acrylic Acid@DrugBank,Acrylic Acid,10
Acrylonitrile@MeSH,Acrylonitrile,3
Actigraphy@MeSH,Actigraphy,2
Actihaemyl@MeSH,Actihaemyl,1
Actin Cytoskeleton@MeSH,Actin Cytoskeleton,18
Acting Out@MeSH,Acting Out,6
Actinin@MeSH,Actinin,1
Actinium@DrugBank,Actinium,69
Actinomycosis@MeSH,Actinomycosis,4
Actins@MeSH,Actins,24
Action Potentials@MeSH,Action Potentials,329
Action Spectrum@MeSH,Action Spectrum,2
Action_Myoclonus@ESSO,Action_Myoclonus,48
Activated Protein C Resistance@MeSH,Activated Protein C Resistance,4
Activated charcoal@DrugBank,Activated charcoal,175
Activating Transcription Factor 2@MeSH,Activating Transcription Factor 2,1
Activating Transcription Factor 4@MeSH,Activating Transcription Factor 4,2
Activating Transcription Factors@MeSH,Activating Transcription Factors,3
Activation Analysis@MeSH,Activation Analysis,6
"Activation, Metabolic@MeSH","Activation, Metabolic",111
Activation_Procedure@ESSO,Activation_Procedure,34
Activator Appliances@MeSH,Activator Appliances,75
Activins@MeSH,Activins,4
Activities of Daily Living@MeSH,Activities of Daily Living,49
Activity Cycles@MeSH,Activity Cycles,3
Actuarial Analysis@MeSH,Actuarial Analysis,11
Acupressure@MeSH,Acupressure,1
Acupuncture Points@MeSH,Acupuncture Points,12
Acupuncture Therapy@MeSH,Acupuncture Therapy,8
"Acupuncture, Ear@MeSH","Acupuncture, Ear",3
Acupuncture@MeSH,Acupuncture,28
Acute Chest Syndrome@MeSH,Acute Chest Syndrome,3
Acute Coronary Syndrome@MeSH,Acute Coronary Syndrome,4
Acute Disease@MeSH,Acute Disease,19
Acute Febrile Encephalopathy@MeSH,Acute Febrile Encephalopathy,4
Acute Kidney Injury@MeSH,Acute Kidney Injury,9
Acute Lung Injury@MeSH,Acute Lung Injury,2
Acute Pain@MeSH,Acute Pain,7
Acute-Phase Proteins@MeSH,Acute-Phase Proteins,4
Acute-Phase Reaction@MeSH,Acute-Phase Reaction,6
Acyclovir@MeSH,Acyclovir,81
Acyl Coenzyme A@MeSH,Acyl Coenzyme A,10
"Acyl-CoA Dehydrogenase, Long-Chain@MeSH","Acyl-CoA Dehydrogenase, Long-Chain",1
Acyl-CoA Dehydrogenase@MeSH,Acyl-CoA Dehydrogenase,14
Acyl-CoA Dehydrogenases@MeSH,Acyl-CoA Dehydrogenases,2
Acyl-CoA Oxidase@MeSH,Acyl-CoA Oxidase,7
Acylation@MeSH,Acylation,32
Acyltransferases@MeSH,Acyltransferases,6
Adamantane@MeSH,Adamantane,4
Adams-Stokes Syndrome@MeSH,Adams-Stokes Syndrome,4
Adapalene@DrugBank,Adapalene,1
"Adaptation, Biological@MeSH","Adaptation, Biological",1
"Adaptation, Physiological@MeSH","Adaptation, Physiological",5
Adaptive Immunity@MeSH,Adaptive Immunity,4
Addendum@ESSO,Addendum,2
Addiction Medicine@MeSH,Addiction Medicine,2
Addison Disease@MeSH,Addison Disease,5
Addresses@MeSH,Addresses,664
Adduction@ESSO,Adduction,26
Ademetionine@DrugBank,Ademetionine,2626
Adenine Nucleotides@MeSH,Adenine Nucleotides,15
Adenine@DrugBank,Adenine,29
Adenine@MeSH,Adenine,18
"Adenocarcinoma, Bronchiolo-Alveolar@MeSH","Adenocarcinoma, Bronchiolo-Alveolar",2
"Adenocarcinoma, Mucinous@MeSH","Adenocarcinoma, Mucinous",1
"Adenocarcinoma, Papillary@MeSH","Adenocarcinoma, Papillary",2
Adenocarcinoma@MeSH,Adenocarcinoma,39
Adenoidectomy@MeSH,Adenoidectomy,3
Adenoids@MeSH,Adenoids,4
"Adenoma, Acidophil@MeSH","Adenoma, Acidophil",1
"Adenoma, Chromophobe@MeSH","Adenoma, Chromophobe",2
"Adenoma, Islet Cell@MeSH","Adenoma, Islet Cell",2
"Adenoma, Liver Cell@MeSH","Adenoma, Liver Cell",3
"Adenoma, Oxyphilic@MeSH","Adenoma, Oxyphilic",1
Adenoma@MeSH,Adenoma,127
Adenomatous Polyposis Coli@MeSH,Adenomatous Polyposis Coli,2
Adenosarcoma@MeSH,Adenosarcoma,1
Adenosine 5'-phosphosulfate@DrugBank,Adenosine 5'-phosphosulfate,114
Adenosine A1 Receptor Agonists@MeSH,Adenosine A1 Receptor Agonists,19
Adenosine A1 Receptor Antagonists@MeSH,Adenosine A1 Receptor Antagonists,13
Adenosine A2 Receptor Agonists@MeSH,Adenosine A2 Receptor Agonists,4
Adenosine A2 Receptor Antagonists@MeSH,Adenosine A2 Receptor Antagonists,4
Adenosine A3 Receptor Agonists@MeSH,Adenosine A3 Receptor Agonists,2
Adenosine Deaminase Inhibitors@MeSH,Adenosine Deaminase Inhibitors,4
Adenosine Deaminase@MeSH,Adenosine Deaminase,26
Adenosine Diphosphate@MeSH,Adenosine Diphosphate,37
Adenosine Kinase@MeSH,Adenosine Kinase,10
Adenosine Monophosphate@MeSH,Adenosine Monophosphate,56
Adenosine Triphosphatases@MeSH,Adenosine Triphosphatases,111
Adenosine Triphosphate@MeSH,Adenosine Triphosphate,233
Adenosine monophosphate@DrugBank,Adenosine monophosphate,86
Adenosine-5'-(N-ethylcarboxamide)@MeSH,Adenosine-5'-(N-ethylcarboxamide),20
Adenosine@DrugBank,Adenosine,248
Adenosine@MeSH,Adenosine,270
Adenosylmethionine Decarboxylase@MeSH,Adenosylmethionine Decarboxylase,3
Adenoviridae Infections@MeSH,Adenoviridae Infections,7
Adenoviridae@MeSH,Adenoviridae,33
"Adenoviruses, Canine@MeSH","Adenoviruses, Canine",1
Adenylate Kinase@MeSH,Adenylate Kinase,4
Adenylosuccinate Lyase@MeSH,Adenylosuccinate Lyase,11
Adenylyl Cyclase Inhibitors@MeSH,Adenylyl Cyclase Inhibitors,1
Adenylyl Cyclases@MeSH,Adenylyl Cyclases,43
Adenylyl Imidodiphosphate@MeSH,Adenylyl Imidodiphosphate,2
Adhesiveness@MeSH,Adhesiveness,43
Adhesives@MeSH,Adhesives,43
Adipates@MeSH,Adipates,6
Adipocytes@MeSH,Adipocytes,11
Adipogenesis@MeSH,Adipogenesis,1
Adipokines@MeSH,Adipokines,3
Adiponectin@MeSH,Adiponectin,3
"Adipose Tissue, Brown@MeSH","Adipose Tissue, Brown",2
"Adipose Tissue, White@MeSH","Adipose Tissue, White",3
Adipose Tissue@MeSH,Adipose Tissue,24
Adiposis Dolorosa@MeSH,Adiposis Dolorosa,510
Adiposity@MeSH,Adiposity,8
Adjustment Disorders@MeSH,Adjustment Disorders,5
"Adjuvants, Anesthesia@MeSH","Adjuvants, Anesthesia",1
"Adjuvants, Immunologic@MeSH","Adjuvants, Immunologic",2
"Administration, Buccal@MeSH","Administration, Buccal",1
"Administration, Intranasal@MeSH","Administration, Intranasal",12
"Administration, Intravaginal@MeSH","Administration, Intravaginal",1
"Administration, Intravenous@MeSH","Administration, Intravenous",185
"Administration, Oral@MeSH","Administration, Oral",249
"Administration, Rectal@MeSH","Administration, Rectal",36
"Administration, Sublingual@MeSH","Administration, Sublingual",1
"Administration, Topical@MeSH","Administration, Topical",3
Adolescent Behavior@MeSH,Adolescent Behavior,1
Adolescent Development@MeSH,Adolescent Development,6
Adolescent Health@MeSH,Adolescent Health,3
Adolescent Medicine@MeSH,Adolescent Medicine,1
Adolescent Psychiatry@MeSH,Adolescent Psychiatry,8
"Adolescent, Hospitalized@MeSH","Adolescent, Hospitalized",2
Adolescent@EpSO,Adolescent,950
Adolescent@MeSH,Adolescent,945
Adoption@MeSH,Adoption,167
Adoptive Transfer@MeSH,Adoptive Transfer,1
Adrenal Cortex Hormones@MeSH,Adrenal Cortex Hormones,318
Adrenal Cortex@MeSH,Adrenal Cortex,12
Adrenal Glands@MeSH,Adrenal Glands,28
"Adrenal Hyperplasia, Congenital@MeSH","Adrenal Hyperplasia, Congenital",8
Adrenal Insufficiency@MeSH,Adrenal Insufficiency,27
Adrenal Medulla@MeSH,Adrenal Medulla,8
Adrenalectomy@MeSH,Adrenalectomy,34
Adrenarche@MeSH,Adrenarche,2
Adrenergic Agents@MeSH,Adrenergic Agents,84
Adrenergic Agonists@MeSH,Adrenergic Agonists,18
Adrenergic Antagonists@MeSH,Adrenergic Antagonists,29
Adrenergic Fibers@MeSH,Adrenergic Fibers,2
Adrenergic Neurons@MeSH,Adrenergic Neurons,2
Adrenergic alpha-2 Receptor Agonists@MeSH,Adrenergic alpha-2 Receptor Agonists,1
Adrenergic alpha-Agonists@MeSH,Adrenergic alpha-Agonists,4
Adrenergic alpha-Antagonists@MeSH,Adrenergic alpha-Antagonists,4
Adrenergic beta-Agonists@MeSH,Adrenergic beta-Agonists,5
Adrenergic beta-Antagonists@MeSH,Adrenergic beta-Antagonists,13
Adrenocortical Adenoma@MeSH,Adrenocortical Adenoma,1
Adrenocortical Carcinoma@MeSH,Adrenocortical Carcinoma,2
